direction,relation_label,formula,relation_overlap,exact_hit,source_uris,target_uris
generated_to_reference,awarded by,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#awardedBy,
generated_to_reference,city name,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#dp_cityName,
generated_to_reference,contains article,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#containsArticle,
generated_to_reference,country name,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#dp_countryName,
generated_to_reference,date of the seminar occurrence,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#occurrenceDate,
generated_to_reference,degree date,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#degreeDate,
generated_to_reference,degree of,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#degreeOf,
generated_to_reference,employed at,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#employedAt,
generated_to_reference,employment start date,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#startDate,
generated_to_reference,evaluates,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#evaluates,
generated_to_reference,has article,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasArticle,
generated_to_reference,has city,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#op_hasCity,
generated_to_reference,has date,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#dp_hasDate,
generated_to_reference,has degree,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasDegree,
generated_to_reference,has degree (reified),RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasDegree,
generated_to_reference,has employee,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasEmployee,
generated_to_reference,has employer,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasEmployer,
generated_to_reference,has evaluatee (employee),RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasEvaluatee,
generated_to_reference,has evaluation date,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasEvaluationDate,
generated_to_reference,has evaluation statement,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasStatement,
generated_to_reference,has evaluator (doctor),RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasEvaluator,
generated_to_reference,has member,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasMember,
generated_to_reference,has member (person),RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasMember,
generated_to_reference,has membership,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasMembership,
generated_to_reference,has name,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasName,
generated_to_reference,has occurrence,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasOccurrence,
generated_to_reference,has page count,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasPageCount,
generated_to_reference,has presentation,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasPresentation,
generated_to_reference,has publication date,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasPublicationDate,
generated_to_reference,has role,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasRole,
generated_to_reference,has start date,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasStartDate,
generated_to_reference,has union,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasUnion,
generated_to_reference,has union (organization),RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasUnion,
generated_to_reference,has union membership,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasUnionMembership,
generated_to_reference,has version,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasVersion,
generated_to_reference,held at,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#op_heldAt,
generated_to_reference,held at hospital,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#heldAtHospital,
generated_to_reference,held by,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#heldBy,
generated_to_reference,holds degree association,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#holdsDegreeAssociation,
generated_to_reference,is employee of,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#isEmployeeOf,
generated_to_reference,is employer of,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#isEmployerOf,
generated_to_reference,is located in country,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#op_isLocatedInCountry,
generated_to_reference,is part of article collection,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasArticleCollection,
generated_to_reference,is presented in,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#isPresentedIn,
generated_to_reference,isMemberOf,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#isMemberOf,
generated_to_reference,isRoleOf,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#isRoleOf,
generated_to_reference,isUnionOf,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#isUnionOf,
generated_to_reference,located in city,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#locatedInCity,
generated_to_reference,member of union,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#memberOfUnion,
generated_to_reference,membership end date,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#membershipEndDate,
generated_to_reference,membership of person,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#membershipOfPerson,
generated_to_reference,membership of union,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#membershipOfUnion,
generated_to_reference,membership start date,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#membershipStartDate,
generated_to_reference,occurrence at location,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#occurrenceAtLocation,
generated_to_reference,occurrence of seminar,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#occurrenceOfSeminar,
generated_to_reference,page count,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#dp_pageCount|http://www.example.org/ontology/hospital#pageCount,
generated_to_reference,presentation venue,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasPresentationVenue,
generated_to_reference,presented article,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasPresentedArticle,
generated_to_reference,presented at seminar,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#presentedAtSeminar,
generated_to_reference,presented by,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#presentedBy,
generated_to_reference,presented presentation,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#presentedPresentation,
generated_to_reference,publication year,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#publicationYear,
generated_to_reference,represents union,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#representsUnion,
generated_to_reference,seminar date,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#seminarDate,
generated_to_reference,stored in library,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#storedInLibrary,
generated_to_reference,title,RO_triple_prime,0.0,False,http://www.example.org/ontology/hospital#hasTitle,
reference_to_generated,bedHasSize,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#bedHasSize,
reference_to_generated,currentPatientState,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#currentPatientState,
reference_to_generated,departmentHasName,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#departmentHasName,
reference_to_generated,departmentHasPhone,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#departmentHasPhone,
reference_to_generated,departmentUseWard,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#departmentUseWard,
reference_to_generated,givenInstructions,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#givenInstructions,
reference_to_generated,givenPillName,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#givenPillName,
reference_to_generated,hasAccountID,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAccountID,
reference_to_generated,hasAffiliateDoctor,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAffiliateDoctor,
reference_to_generated,hasAffiliatedDepart,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAffiliatedDepart,
reference_to_generated,hasAffiliatedDepartment,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAffiliatedDepartment,
reference_to_generated,hasAffiliatedPatient,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAffiliatedPatient,
reference_to_generated,hasAffiliatedStaff,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAffiliatedStaff,
reference_to_generated,hasAppointedDate,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAppointedDate,
reference_to_generated,hasAppointedDoctor,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAppointedDoctor,
reference_to_generated,hasAppointedPatient,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAppointedPatient,
reference_to_generated,hasAppointmentID,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasAppointmentID,
reference_to_generated,hasBilledPatient,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasBilledPatient,
reference_to_generated,hasHistoryRecID,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasHistoryRecID,
reference_to_generated,hasHistoryUpdateID,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasHistoryUpdateID,
reference_to_generated,hasHistoryUpdates,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasHistoryUpdates,
reference_to_generated,hasMedicalCase,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasMedicalCase,
reference_to_generated,hasOrderDate,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasOrderDate,
reference_to_generated,hasPaymentAmount,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasPaymentAmount,
reference_to_generated,hasPrescription,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasPrescription,
reference_to_generated,hasRelantionshipType,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasRelantionshipType,
reference_to_generated,hasSpeciality,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasSpeciality,
reference_to_generated,hasTotalBill,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasTotalBill,
reference_to_generated,hasTotalCost,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasTotalCost,
reference_to_generated,hasUpdateDate,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#hasUpdateDate,
reference_to_generated,headOfDept,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#headOfDept,
reference_to_generated,infrastructureHasID,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#infrastructureHasID,
reference_to_generated,isEspeciallyInvolvedIn,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#isEspeciallyInvolvedIn,
reference_to_generated,isEspeciallyTreats,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#isEspeciallyTreats,
reference_to_generated,isInvolvedIn,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#isInvolvedIn,
reference_to_generated,isPatientType,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#isPatientType,
reference_to_generated,nurseInspectWard,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#nurseInspectWard,
reference_to_generated,patientAge,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#patientAge,
reference_to_generated,patientDateAdmitted,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#patientDateAdmitted,
reference_to_generated,patientDateDischarged,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#patientDateDischarged,
reference_to_generated,patientGender,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#patientGender,
reference_to_generated,patientHasAnAssignedBed,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#patientHasAnAssignedBed,
reference_to_generated,patientIsAttendedBy,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#patientIsAttendedBy,
reference_to_generated,patientIsAttendedIn,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#patientIsAttendedIn,
reference_to_generated,patientWeight,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#patientWeight,
reference_to_generated,personHasAddress,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#personHasAddress,
reference_to_generated,personHasID,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#personHasID,
reference_to_generated,personHasName,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#personHasName,
reference_to_generated,personHasPhone,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#personHasPhone,
reference_to_generated,roomHasBeds,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#roomHasBeds,
reference_to_generated,roomHasSize,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#roomHasSize,
reference_to_generated,theDoctorComments,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#theDoctorComments,
reference_to_generated,wardHasRooms,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#wardHasRooms,
reference_to_generated,wingHasDepartment,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#wingHasDepartment,
reference_to_generated,wingHasWard,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#wingHasWard,
reference_to_generated,worksIn,RO_triple_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#worksIn,
